,PATTERN,RECODING2,TOTAL_OCCURRENCES
788,b econ res,ECONOMICS,52
789,curr pop rep,STATISTICAL DATA,52
790,business concentrati,BUSINESS,52
791,j royal statistica a,STATISTICS,51
792,p am philos soc,PHILOSOPHY,51
793,new republic,MEDIA,51
794,barrons,MEDIA,51
795,linear operators 1,MATHEMATICS,51
796,exchange rates int m,FINANCE,51
797,theoretical welfare,ECONOMICS,51
798,rev ec statistic aug,ECONOMICS,51
799,oxford economic,ECONOMICS,51
800,j econ surv,ECONOMICS,51
801,int economics,ECONOMICS,51
802,dynamic fiscal polic,ECONOMICS,51
803,behav game theory ex,ECONOMICS,51
804,allocation time good,ECONOMICS,51
805,probability theory,STATISTICS,50
806,nav res log,STATISTICS,50
807,sov stud,ECONOMICS,50
808,econ polit weekly,MEDIA,50
809,martingale limit the,MATHEMATICS,50
810,unemployment macroec,ECONOMICS,50
811,numerical methods ec,ECONOMICS,50
812,money employment inf,ECONOMICS,50
813,models business cycl,ECONOMICS,50
814,j labor res,ECONOMICS,50
815,economic forecasts p,ECONOMICS,50
816,customs union issue,ECONOMICS,50
817,evolutionary theory,NATURAL SCIENCES,50
818,theory probability,STATISTICS,49
819,scand j stat,STATISTICS,49
820,j stat plan infer,STATISTICS,49
821,public policy,POLSCIENCE,49
822,j peace res,POLSCIENCE,49
823,ann math stud,MATHEMATICS,49
824,theory financial dec,FINANCE,49
825,review of finance,FINANCE,49
826,j financial quan sep,FINANCE,49
827,fed res bank new,FINANCE,49
828,banking monetary stu,FINANCE,49
829,theory rent seeking,ECONOMICS,49
830,stud income,ECONOMICS,49
831,rev ec statistic may,ECONOMICS,49
832,j law ec,ECONOMICS,49
833,int rev law econ,ECONOMICS,49
834,essays ec anal,ECONOMICS,49
835,elements ec politiqu,ECONOMICS,49
836,ec dev cultural chan,ECONOMICS,49
837,determinants investm,ECONOMICS,49
838,contestable markets,ECONOMICS,49
839,anal panel data,ECONOMICS,49
840,strategy market stru,BUSINESS,49
841,s,DK,49
842,pch11,DK,49
843,adv appl probab,STATISTICS,48
844,arch sozialwissensch,SOCIOLOGY,48
845,problems capital for,FINANCE,48
846,dynamic asset pricin,FINANCE,48
847,quart j econ,ECONOMICS,48
848,optimal decision rul,ECONOMICS,48
849,modern business cycl,ECONOMICS,48
850,internal labor marke,ECONOMICS,48
851,ec theory socialism,ECONOMICS,48
852,ec policy rev,ECONOMICS,48
853,ec innovation new te,ECONOMICS,48
854,cesifo,ECONOMICS,48
855,publ,DK,48
856,theory stochastic pr,STATISTICS,47
857,statistical anal tim,STATISTICS,47
858,hdb stat,STATISTICS,47
859,density estimation s,STATISTICS,47
860,am j sociology,SOCIOLOGY,47
861,med care,HEALTH,47
862,banker,MEDIA,47
863,financial markets i,FINANCE,47
864,theory practice econ,ECONOMICS,47
865,rev ec statistic nov,ECONOMICS,47
866,nonlinear methods ec,ECONOMICS,47
867,microeconomic founda,ECONOMICS,47
868,cours ec politique,ECONOMICS,47
869,capitalism freedom,ECONOMICS,47
870,water resour res,NATURAL SCIENCES,47
871,continuous univariat,STATISTICS,46
872,ann appl probab,STATISTICS,46
873,am banker,MEDIA,46
874,j finance in press,FINANCE,46
875,j business finance a,FINANCE,46
876,j applied corporate,FINANCE,46
877,so economic j,ECONOMICS,46
878,rise decline nations,ECONOMICS,46
879,res labor e,ECONOMICS,46
880,natl i econ rev,ECONOMICS,46
881,in press int ec rev,ECONOMICS,46
882,hist ec anal,ECONOMICS,46
883,canadian j ec politi,ECONOMICS,46
884,aspects labor ec,ECONOMICS,46
885,rev int statistical,STATISTICS,45
886,truly disadvantaged,SOCIOLOGY,45
887,sociol educ,SOCIOLOGY,45
888,ency social sci,SOCIOLOGY,45
889,criminology,LAW,45
890,portfolio theory cap,FINANCE,45
891,banks rev,FINANCE,45
892,theory capital,ECONOMICS,45
893,rev econ studies,ECONOMICS,45
894,quart j economic nov,ECONOMICS,45
895,quart j economic feb,ECONOMICS,45
896,penn world table ver,ECONOMICS,45
897,new dev productivity,ECONOMICS,45
898,national i ec rev,ECONOMICS,45
899,manuel ec politique,ECONOMICS,45
900,macroECONOMICSprice,ECONOMICS,45
901,job creation destruc,ECONOMICS,45
902,j polit ec,ECONOMICS,45
903,integrated public us,ECONOMICS,45
904,information incentiv,ECONOMICS,45
905,ec rev,ECONOMICS,45
906,competition few,ECONOMICS,45
907,am economic review,ECONOMICS,45
908,am ec rev p,ECONOMICS,45
909,accounting rev,BUSINESS,45
910,fdn stat,STATISTICS,44
911,pers soc psychol b,PSYCHOLOGY,44
912,synthese,PHILOSOPHY,44
913,math program,MATHEMATICS,44
914,financial analysts j,FINANCE,44
915,theory growth firm,ECONOMICS,44
916,price flexibility em,ECONOMICS,44
917,new ec,ECONOMICS,44
918,measurement ec studi,ECONOMICS,44
919,macroeconomic policy,ECONOMICS,44
920,keynesian economics,ECONOMICS,44
921,in press j int ec,ECONOMICS,44
922,discrete choice theo,ECONOMICS,44
923,collective bargainin,ECONOMICS,44
924,am econ j-microecon,ECONOMICS,44
925,yale rev,DK,44
926,u penns w,DK,44
927,making democracy wor,POLSCIENCE,43
928,brit j polit sci,POLSCIENCE,43
929,money,MEDIA,43
930,5th p berk s math st,MATHEMATICS,43
931,4th p berk s math st,MATHEMATICS,43
932,j deriv,FINANCE,43
933,investment interest,FINANCE,43
934,theory capitalist de,ECONOMICS,43
935,rev ECONOMICSst feb,ECONOMICS,43
936,price theory,ECONOMICS,43
937,new approaches monet,ECONOMICS,43
938,monthly labor rev,ECONOMICS,43
939,monetary trends us u,ECONOMICS,43
940,j public econ theory,ECONOMICS,43
941,i stud lab,ECONOMICS,43
942,health econ,ECONOMICS,43
943,econometric in press,ECONOMICS,43
944,ec evolving complex,ECONOMICS,43
945,commercial bank beha,ECONOMICS,43
946,mit,DK,43
947,iron age,DK,43
948,collected writings,DK,43
949,hist stat us,STATISTICAL DATA,42
950,j philos,PHILOSOPHY,42
951,london times,MEDIA,42
952,optimization vector,MATHEMATICS,42
953,math psychics,MATHEMATICS,42
954,areuea j,FINANCE,42
955,world bank pol,ECONOMICS,42
956,structure change ec,ECONOMICS,42
957,rev ECONOMICSst aug,ECONOMICS,42
958,political ec,ECONOMICS,42
959,nber working paper s,ECONOMICS,42
960,money trade ec growt,ECONOMICS,42
961,crises ec financial,ECONOMICS,42
962,pch12,DK,42
963,j business ec stat,STATISTICS,41
964,int j forecasting,STATISTICS,41
965,forbes,MEDIA,41
966,rev financ,FINANCE,41
967,ifs,FINANCE,41
968,behavioral theory fi,FINANCE,41
969,what do unions do,ECONOMICS,41
970,studies linear nonli,ECONOMICS,41
971,review ECONOMICSsta,ECONOMICS,41
972,oecd,ECONOMICS,41
973,microeconomic fdn em,ECONOMICS,41
974,hdb labor ec c,ECONOMICS,41
975,female labor supply,ECONOMICS,41
976,economic policy,ECONOMICS,41
977,econ transit,ECONOMICS,41
978,ec perspectives,ECONOMICS,41
979,distribution wealth,ECONOMICS,41
980,demographic ec chang,ECONOMICS,41
981,demand anal,ECONOMICS,41
982,critique welfare ec,ECONOMICS,41
983,bayesian models ec t,ECONOMICS,41
984,u cath louv,DK,41
985,u cal work pap,DK,41
986,survey,DK,41
987,unpub nonparametric,STATISTICS,40
988,public opin quart,SOCIOLOGY,40
989,social res,SOCIOLOGY,40
990,health serv res,HEALTH,40
991,pacific basin financ,FINANCE,40
992,j bank res,FINANCE,40
993,geneva pap risk ins,FINANCE,40
994,european financial m,FINANCE,40
995,theory commodity pri,ECONOMICS,40
996,s african j ec,ECONOMICS,40
997,rev ec stud in press,ECONOMICS,40
998,price indexes qualit,ECONOMICS,40
999,post keynesian econo,ECONOMICS,40
1000,neoclassical theory,ECONOMICS,40
1001,money credit commerc,ECONOMICS,40
1002,making index numbers,ECONOMICS,40
1003,ind fluctuations,ECONOMICS,40
1004,in press rand j ec,ECONOMICS,40
1005,in press j ec dynami,ECONOMICS,40
1006,environ resour econ,ECONOMICS,40
1007,ECONOMICSwelfare,ECONOMICS,40
1008,ec lett,ECONOMICS,40
1009,am law econ rev,ECONOMICS,40
1010,j int bus stud,BUSINESS,40
1011,j bus venturing,BUSINESS,40
1012,sankhya a,STATISTICS,39
1013,applied statistics,STATISTICS,39
1014,unpub j financial ec,FINANCE,39
1015,theory investment fi,FINANCE,39
1016,int financ,FINANCE,39
1017,financial structure,FINANCE,39
1018,trade cycle,ECONOMICS,39
1019,theory customs union,ECONOMICS,39
1020,strategy ec dev,ECONOMICS,39
1021,prices quantities ma,ECONOMICS,39
1022,nations households e,ECONOMICS,39
1023,lectures public ec,ECONOMICS,39
1024,labor supply,ECONOMICS,39
1025,j hous econ,ECONOMICS,39
1026,j applied econometri,ECONOMICS,39
1027,income independent p,ECONOMICS,39
1028,hdb ec growth a,ECONOMICS,39
1029,explorations ec res,ECONOMICS,39
1030,essays positive econ,ECONOMICS,39
1031,econometric rev,ECONOMICS,39
1032,ec theory teams,ECONOMICS,39
1033,annu rev econ,ECONOMICS,39
1034,adv macroeconomics,ECONOMICS,39
1035,j account res,BUSINESS,39
1036,u brit col disc,DK,39
1037,thesis brown u,DK,39
1038,well being fdn hedon,PSYCHOLOGY,38
1039,organ behav hum perf,PSYCHOLOGY,38
1040,harvard business jan,MEDIA,38
1041,ekonomist,MEDIA,38
1042,ordinary differentia,MATHEMATICS,38
1043,linear aggregation e,MATHEMATICS,38
1044,j financial services,FINANCE,38
1045,why growth rates dif,ECONOMICS,38
1046,unpub q j ec,ECONOMICS,38
1047,unpub j ec theory,ECONOMICS,38
1048,unpub intertemporal,ECONOMICS,38
1049,south econ j,ECONOMICS,38
1050,j european in press,ECONOMICS,38
1051,invention ec growth,ECONOMICS,38
1052,equilibrium stabilit,ECONOMICS,38
1053,ec inquiry,ECONOMICS,38
1054,choosing right pond,ECONOMICS,38
1055,cahiers seminaire ec,ECONOMICS,38
1056,be j econ anal poli,ECONOMICS,38
1057,am econ j-econ polic,ECONOMICS,38
1058,theor popul biol,NATURAL SCIENCES,38
1059,u wisc soc syst,DK,38
1060,differences changes,DK,38
1061,determinants effects,DK,38
1062,nonparametric statis,STATISTICS,37
1063,j royal statistica b,STATISTICS,37
1064,annu rev psychol,PSYCHOLOGY,37
1065,acta psychol,PSYCHOLOGY,37
1066,ethics,PHILOSOPHY,37
1067,res finance,FINANCE,37
1068,world dev ind,STATISTICAL DATA,37
1069,world bank staff,ECONOMICS,37
1070,monetarism,ECONOMICS,37
1071,math intro ec,ECONOMICS,37
1072,keynesian revolution,ECONOMICS,37
1073,j math ec,ECONOMICS,37
1074,j ind ec,ECONOMICS,37
1075,i i change ec perfor,ECONOMICS,37
1076,hdb game theory ec a,ECONOMICS,37
1077,harv i ec res,ECONOMICS,37
1078,empir econ,ECONOMICS,37
1079,ec org management,ECONOMICS,37
1080,ec int,ECONOMICS,37
1081,brookings papers eco,ECONOMICS,37
1082,tax incentives capit,BUSINESS,37
1083,managerial decision,BUSINESS,37
1084,usda technical b,AGRICULTURE,37
1085,unpub identification,DK,37
1086,u brit col dep,DK,37
1087,study savings loan i,DK,37
1088,northwest u law rev,DK,37
1089,full employment free,DK,37
1090,course probability t,STATISTICS,36
1091,convergence stochast,STATISTICS,36
1092,annu rev sociol,SOCIOLOGY,36
1093,j savants,MULTIDISC,36
1094,newsweek,MEDIA,36
1095,harvard business rev,MEDIA,36
1096,am math monthly,MATHEMATICS,36
1097,scottish j political,ECONOMICS,36
1098,real estate econ,ECONOMICS,36
1099,rate interest,ECONOMICS,36
1100,oligopoly theory gam,ECONOMICS,36
1101,monetary policy rule,ECONOMICS,36
1102,j econ geogr,ECONOMICS,36
1103,int trade,ECONOMICS,36
1104,essays state ec sc,ECONOMICS,36
1105,econ appl,ECONOMICS,36
1106,ec studies tradit,ECONOMICS,36
1107,contemp econ policy,ECONOMICS,36
1108,conditions ec progr,ECONOMICS,36
1109,collected writings j,ECONOMICS,36
1110,affluent soc,ECONOMICS,36
1111,curr pop rep p60,STATISTICAL DATA,36
1112,rev account stud,BUSINESS,36
1113,essays ec management,BUSINESS,36
1114,bus hist rev,BUSINESS,36
1115,publications am ec a,DK,36
1116,pch10,DK,36
1117,pakistan development,DK,36
1118,executive compensati,DK,36
1119,theor probab appl+,STATISTICS,35
1120,metron,STATISTICS,35
1121,math methods statist,STATISTICS,35
1122,decision,PSYCHOLOGY,35
1123,theory voting,POLSCIENCE,35
1124,stanf u i math st,MATHEMATICS,35
1125,j financial quan mar,FINANCE,35
1126,investment decisions,FINANCE,35
1127,theory cost producti,ECONOMICS,35
1128,rev economic stu oct,ECONOMICS,35
1129,rev economic stu jan,ECONOMICS,35
1130,phases capitalist de,ECONOMICS,35
1131,j ec hist,ECONOMICS,35
1132,irrational exuberanc,ECONOMICS,35
1133,int ec papers,ECONOMICS,35
1134,hdb macroECONOMICSa,ECONOMICS,35
1135,hdb labour ec,ECONOMICS,35
1136,hdb game theory,ECONOMICS,35
1137,forecasting ec time,ECONOMICS,35
1138,ecb,ECONOMICS,35
1139,ec exchange rates se,ECONOMICS,35
1140,decline competition,ECONOMICS,35
1141,consumer demand new,ECONOMICS,35
1142,anal household surve,STATISTICAL DATA,35
1143,sloan manage rev,BUSINESS,35
1144,bell j ec management,BUSINESS,35
1145,annals of operations research,BUSINESS,35
1146,u cal disc pap,DK,35
1147,thesis u london,DK,35
1148,thesis cornell u,DK,35
1149,some theoretical pro,DK,35
1150,annals,DK,35
1151,soviet studies,ECONOMICS,34
1152,inquiry-j health car,HEALTH,34
1153,j exp psychol gen,PSYCHOLOGY,34
1154,j exp anal behav,PSYCHOLOGY,34
1155,regulation,POLSCIENCE,34
1156,polit sci quart,POLSCIENCE,34
1157,am j math,MATHEMATICS,34
1158,nat resour j,LAW,34
1159,security anal,FINANCE,34
1160,options markets,FINANCE,34
1161,in press j money cre,FINANCE,34
1162,fed reserve bank st,FINANCE,34
1163,why wages dont fall,ECONOMICS,34
1164,trade welfare,ECONOMICS,34
1165,trade union wage pol,ECONOMICS,34
1166,theory political ec,ECONOMICS,34
1167,role direct indirect,ECONOMICS,34
1168,quart j economic may,ECONOMICS,34
1169,nationalokonomisk ti,ECONOMICS,34
1170,memorials a marshall,ECONOMICS,34
1171,jpn world econ,ECONOMICS,34
1172,in press ec theory,ECONOMICS,34
1173,imperfect competitio,ECONOMICS,34
1174,geography trade,ECONOMICS,34
1175,gen theory equilibri,ECONOMICS,34
1176,fiscal federalism,ECONOMICS,34
1177,essays theory employ,ECONOMICS,34
1178,anal family budgets,ECONOMICS,34
1179,works,DK,34
1180,org ind,DK,34
1181,effects taxation cap,DK,34
1182,cities housing,URBAN STUDIES,33
1183,optimal stat decisio,STATISTICS,33
1184,measure theory,MATHEMATICS,33
1185,survey financial cha,FINANCE,33
1186,statistical cost ana,FINANCE,33
1187,educ eval policy an,EDUCATION,33
1188,wheat studies,ECONOMICS,33
1189,utility theory decis,ECONOMICS,33
1190,transforming traditi,ECONOMICS,33
1191,theory value axiomat,ECONOMICS,33
1192,theory social choice,ECONOMICS,33
1193,theory ec growth,ECONOMICS,33
1194,study public finance,ECONOMICS,33
1195,rev ec stat in press,ECONOMICS,33
1196,quart j economic aug,ECONOMICS,33
1197,q j ec in press,ECONOMICS,33
1198,public debt manageme,ECONOMICS,33
1199,productivity us ec g,ECONOMICS,33
1200,national income pric,ECONOMICS,33
1201,measurement consumer,ECONOMICS,33
1202,market volatility,ECONOMICS,33
1203,lect macroeconomics,ECONOMICS,33
1204,j econ issues,ECONOMICS,33
1205,iza i stud lab,ECONOMICS,33
1206,int j cent bank,ECONOMICS,33
1207,ind corp change,ECONOMICS,33
1208,in press j labor ec,ECONOMICS,33
1209,hdb population famil,ECONOMICS,33
1210,hdb macroECONOMICSc,ECONOMICS,33
1211,foreign trade regime,ECONOMICS,33
1212,elements pure ec,ECONOMICS,33
1213,ECONOMICSdiscrimina,ECONOMICS,33
1214,econometric model us,ECONOMICS,33
1215,ec report president,ECONOMICS,33
1216,ec anal law,ECONOMICS,33
1217,contributions ec ana,ECONOMICS,33
1218,unpub semiparametric,DK,33
1219,soc sci w,DK,33
1220,perspectives positiv,DK,33
1221,infinite dimensional,DK,33
1222,c,DK,33
1223,stata j,STATISTICS,32
1224,stat inc,STATISTICS,32
1225,probability statisti,STATISTICS,32
1226,asymptotic stat,STATISTICS,32
1227,applied statistical,STATISTICS,32
1228,classics theory publ,POLSCIENCE,32
1229,neuron,NATURAL SCIENCES,32
1230,j neurosci,NATURAL SCIENCES,32
1231,bus lawyer,LAW,32
1232,bank int settl,FINANCE,32
1233,variety equity effic,ECONOMICS,32
1234,txb econometrics,ECONOMICS,32
1235,theory learning game,ECONOMICS,32
1236,rev ec stud,ECONOMICS,32
1237,res ec,ECONOMICS,32
1238,readings theory int,ECONOMICS,32
1239,quarterly j economic,ECONOMICS,32
1240,production functions,ECONOMICS,32
1241,problems monopoly ec,ECONOMICS,32
1242,nature capital incom,ECONOMICS,32
1243,natl bureau ec res,ECONOMICS,32
1244,nat inc prod acc us,ECONOMICS,32
1245,micromotives macrobe,ECONOMICS,32
1246,manias panics crashe,ECONOMICS,32
1247,lectures macroeconom,ECONOMICS,32
1248,lect political ec,ECONOMICS,32
1249,kinometrics determin,ECONOMICS,32
1250,keynesian ec ec keyn,ECONOMICS,32
1251,inflation causes eff,ECONOMICS,32
1252,hdb ec ed,ECONOMICS,32
1253,hdb ec,ECONOMICS,32
1254,forecasting structur,ECONOMICS,32
1255,finanzarchiv,ECONOMICS,32
1256,fed res bank minn,ECONOMICS,32
1257,fdn int macroeconomi,ECONOMICS,32
1258,essays state econo,ECONOMICS,32
1259,convex structures ec,ECONOMICS,32
1260,consumer spending mo,ECONOMICS,32
1261,aspects labor econom,ECONOMICS,32
1262,adv ec anal policy,ECONOMICS,32
1263,commun acm,COMPUTER,32
1264,visible hand manager,BUSINESS,32
1265,organizations,BUSINESS,32
1266,multinational enterp,BUSINESS,32
1267,mathematics of operations research,BUSINESS,32
1268,u stockh i int e,DK,32
1269,tts,DK,32
1270,p m am stat ass,DK,32
1271,lond sch ec,DK,32
1272,black white test sco,DK,32
1273,ada,DK,32
1274,probab theory rel,STATISTICS,31
1275,sociometry,SOCIOLOGY,31
1276,evolution cooperatio,SOCIOLOGY,31
1277,differential equatio,MATHEMATICS,31
1278,approximation theore,MATHEMATICS,31
1279,market microstructur,FINANCE,31
1280,managerial finance,FINANCE,31
1281,behavior interest ra,FINANCE,31
1282,works corres d ricar,ECONOMICS,31
1283,stat yb,ECONOMICS,31
1284,rev black polit econ,ECONOMICS,31
1285,resour energy econ,ECONOMICS,31
1286,res ec hist,ECONOMICS,31
1287,recursive macroecono,ECONOMICS,31
1288,readings price theor,ECONOMICS,31
1289,production distribut,ECONOMICS,31
1290,personal income taxa,ECONOMICS,31
1291,pakistan dev rev,ECONOMICS,31
1292,monopoly competition,ECONOMICS,31
1293,may am ec rev p,ECONOMICS,31
1294,incentives public de,ECONOMICS,31
1295,in press ec j,ECONOMICS,31
1296,import competition r,ECONOMICS,31
1297,essay trade transfor,ECONOMICS,31
1298,endogenous growth th,ECONOMICS,31
1299,education income hum,ECONOMICS,31
1300,ECONOMICSinformatio,ECONOMICS,31
1301,ec policy free soc,ECONOMICS,31
1302,duality separability,ECONOMICS,31
1303,bell j ECONOMICSman,ECONOMICS,31
1304,appl econ lett,ECONOMICS,31
1305,comput j,COMPUTER,31
1306,management science,BUSINESS,31
1307,ind concentration ne,BUSINESS,31
1308,calif manage rev,BUSINESS,31
1309,balance payments,BUSINESS,31
1310,ucla law rev,DK,31
1311,thesis u wisconsin m,DK,31
1312,thesis london sch ec,DK,31
1313,principles,DK,31
1314,pch13,DK,31
1315,probability measures,STATISTICS,30
1316,am j epidemiol,HEALTH,30
1317,j abnorm psychol,PSYCHOLOGY,30
1318,behav brain sci,NATURAL SCIENCES,30
1319,mathematical program,MATHEMATICS,30
1320,hdb math functions,MATHEMATICS,30
1321,legis stud quart,LAW,30
1322,recent adv corporate,FINANCE,30
1323,j i actuaries,FINANCE,30
1324,j financial economet,FINANCE,30
1325,financial intermedia,FINANCE,30
1326,financial innovation,FINANCE,30
1327,financial anal j mar,FINANCE,30
1328,financ stoch,FINANCE,30
1329,corporate capital st,FINANCE,30
1330,trade liberalization,ECONOMICS,30
1331,studies ec search,ECONOMICS,30
1332,rev ec statis,ECONOMICS,30
1333,q j e,ECONOMICS,30
1334,productivity measure,ECONOMICS,30
1335,monetary fiscal poli,ECONOMICS,30
1336,mit dep ec,ECONOMICS,30
1337,market signaling inf,ECONOMICS,30
1338,j money credit b may,ECONOMICS,30
1339,interest prices,ECONOMICS,30
1340,individual forecasti,ECONOMICS,30
1341,in press j math ec,ECONOMICS,30
1342,in press j ec perspe,ECONOMICS,30
1343,hdb econometrics b,ECONOMICS,30
1344,handb econ,ECONOMICS,30
1345,fed res bank ph,ECONOMICS,30
1346,expected utility hyp,ECONOMICS,30
1347,essay principle popu,ECONOMICS,30
